TIO2(WT%),AL2O3(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),SC(PPM),V(PPM),CR(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),PB(PPM),TH(PPM),U(PPM),Thickness
0.56,16.0,6.7035100000000005,6.6,5.1,0.11,1.3,3.61,0.15,18.0,177.0,165.0,33.0,81.0,,,29.0,505.0,10.8,81.0,3.0,,550.0,12.1,25.0,,13.0,2.6,0.77,2.4,,2.0,,1.1,,0.99,,,,,2.65,,0
1.13,17.21,8.886916000000003,12.12,7.68,0.15,0.24,2.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0.53,16.15,2.996334,3.98,1.99,0.06,2.18,4.58,0.18,8.05,68.7,47.8,6.38,10.8,6.49,80.4,65.2,756.0,11.5,161.0,5.65,2.14,1521.0,24.8,47.5,5.92,22.7,4.23,1.11,3.5,0.461,2.4,0.429,1.13,0.156,1.0,0.142,,0.339,16.7,7.0,2.35,0
1.15,15.1,7.8912460000000015,7.74,7.93,0.12,1.67,3.01,0.27,24.05,,,,,,,47.0,490.0,18.83,172.0,12.5,1.31,409.0,35.3,67.9,7.51,30.3,5.72,1.39,5.2,0.66,3.84,0.7,1.98,0.3,1.88,0.26,6.74,0.78,9.1,7.6,1.2,0
0.42,15.95,3.761164,4.09,1.9,0.06,2.47,4.42,0.14,7.0,54.0,32.0,11.0,16.0,,,68.0,555.0,7.0,28.0,3.6,,935.0,23.0,43.0,,18.5,3.4,0.9,2.4,,1.35,,0.6,,0.5,,,,,5.1,,0
0.37,15.6,2.166834,1.72,1.37,0.05,4.32,3.18,0.24,7.0,58.0,61.0,7.3,22.0,24.0,87.0,373.0,195.0,19.0,152.0,12.0,105.0,820.0,40.4,80.6,,35.1,4.9,1.04,,0.34,,,,,1.31,0.19,5.0,2.9,62.0,22.2,14.6,0
0.65,16.5,5.12886,5.0,2.64,0.09,2.42,4.14,0.2,10.9,127.0,32.0,16.5,27.0,,,47.5,680.0,12.0,120.0,5.5,,990.0,25.0,45.0,,20.0,3.7,1.03,3.35,,2.15,,1.1,,1.04,,,,,3.0,,0
0.56,16.8,5.17385,5.98,3.45,0.1,1.37,3.71,0.16,14.0,120.0,112.0,18.0,33.0,,,26.0,510.0,10.4,78.0,4.0,,600.0,12.2,23.5,,13.5,,0.77,,,1.9,,1.1,,0.95,,,,,2.5,,0
1.618578925,13.4566723,6.442568,13.1266065,10.65491428,0.20247,1.326228125,2.70366925,0.916603525,29.73377773,302.514,468.36075,,,188.47575,109.07575,83.14269272,1455.172778,27.73889447,164.8056718,22.12050342,1.006771235,1016.289592,57.65551633,121.23654109999998,15.17591983,61.4280777,11.83476247,3.390596979,9.159309622,1.222219196,6.209151974,1.108197173,2.653569979,0.347112353,1.996277392,0.288843335,4.132123428,1.194382987,7.891174292,6.963459192,2.021621339,0
0.75,17.65,6.226616,6.15,2.98,0.12,2.09,4.48,0.37,10.7,144.0,26.0,21.0,25.0,,,51.8,890.0,14.0,155.0,9.0,,1230.0,31.5,59.0,,26.5,5.1,1.39,3.9,,2.5,,1.25,,1.19,,,,,5.65,,0
